# MOCK / PLACEHOLDER DATA -- synthetic illustrative PPI series, NOT sourced from
# Stats SA's real P0142.1 PPI release. This repo currently has no real PPI feed
# (only the real CPI archive in stats_sa_cpi_archive.csv is genuine Stats SA data).
# Generated by simple monthly compounding from a Dec 2024 = 100 base (matching the
# real CPI archive's own base-period convention) at a fixed illustrative monthly
# rate per sub-category. See CHATBOT_README.md for the exact rates used and how to
# replace this with a real Stats SA PPI feed once one is integrated.
Date,PPI_Food_Beverages_Tobacco,PPI_Electrical_Communication_Metering,PPI_Petroleum_Chemical_Rubber_Plastic,PPI_Transport_Equipment
2024-07,98.3,97.3,96.6,97.8
2024-08,98.6,97.8,97.2,98.2
2024-09,99.0,98.4,97.9,98.7
2024-10,99.3,98.9,98.6,99.1
2024-11,99.7,99.5,99.3,99.6
2024-12,100.0,100.0,100.0,100.0
2025-01,100.4,100.6,100.7,100.4
2025-02,100.7,101.1,101.4,100.9
2025-03,101.1,101.7,102.1,101.4
2025-04,101.4,102.2,102.8,101.8
2025-05,101.8,102.8,103.5,102.3
2025-06,102.1,103.3,104.3,102.7
2025-07,102.5,103.9,105.0,103.2
2025-08,102.8,104.5,105.7,103.7
2025-09,103.2,105.1,106.5,104.1
2025-10,103.6,105.6,107.2,104.6
2025-11,103.9,106.2,108.0,105.1
2025-12,104.3,106.8,108.7,105.5
2026-01,104.6,107.4,109.5,106.0
2026-02,105.0,108.0,110.3,106.5
2026-03,105.4,108.6,111.0,107.0
2026-04,105.7,109.2,111.8,107.4
2026-05,106.1,109.8,112.6,107.9
2026-06,106.5,110.4,113.4,108.4
